1902,Natural rubber product manufacturing,3,0,1,3,0,3,2,29,27,11,55,1,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,5,1,0,1,0,9,3,0,0,3,0,0,1,0,0,2,1,1,12,2,3,2,2,0,1,18,0,0,10,14,1,2,12,9,13,11,28,83,11,3,2,4,1,0,1,4,6,0,0,0,2,9,0,3,0,0,1,0,2,22,1,4,14,1,5,5,2,3,0,27,10,1,0,0,8,36,1,0,597,25,0,70,0,5,38,158,296,893
2001,Glass and glass product manufacturing,6,1,18,1,0,1,4,5,2,4,7,0,11,1,0,1,67,4,8,1,5,67,138,28,94,0,0,0,0,0,0,1,52,0,2,3,1,108,0,38,15,5,0,26,1,5,5,4,1,0,0,241,1,2,18,5,29,22,3,3,4,11,15,0,1,2,0,1,1,561,237,97,846,216,32,6,12,2,0,9,18,0,4,0,0,0,0,6,0,0,0,0,5,2,5,39,9,8,2,13,6,1,9,14,1,11,3,0,1,1,48,38,6,1, 3 377,226,0,45,0,9,-83,104,302, 3 679
2002,Ceramic product manufacturing,2,0,4,0,0,0,1,2,1,1,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,7,0,5,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,182,13,37,562,2,1,11,25,1,0,2,4,0,1,0,0,0,0,1,0,0,0,0,0,4,1,10,2,2,0,2,1,0,7,11,0,23,53,0,1,0,1,1,1,0, 1 014,167,0,23,0,5,-31,86,250, 1 264
2003,"Cement, lime and ready-mixed concrete manufacturing",8,1,12,1,1,1,5,17,6,13,48,2,17,2,0,1,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,2,3,0,1,2,5,2,0,9,0,3,0,6,5,715,86,11,30,3,1,10,1,3,1,1,0,1,2,1,0,3,1,0,18,24,3,75,19, 1 538, 2 160,639, 3 628,9,6,1,5,6,1,6,12,1,3,0,0,0,1,5,0,1,1,4,4,13,5,39,8,8,1,9,3,1,3,3,0,9,3,1,3,2,3,8,4,0, 9 348,58,0,97,2,22,-147,132,164, 9 512
2004,Plaster and concrete product manufacturing,9,2,27,1,0,1,6,7,3,6,11,1,15,2,0,1,1,0,1,1,0,1,3,1,1,0,0,0,0,0,0,1,9,0,1,4,1,2,0,1,0,2,0,1,1,3,8,1,2,1,0,23,1,3,1,2,1,2,2,2,0,4,1,0,7,6,1,1,1,473,424,206, 1 885,6,4,1,2,2,0,14,27,1,5,0,0,0,0,7,0,0,0,0,0,3,4,52,13,12,1,16,3,1,3,4,0,10,2,0,3,2,3,14,3,0, 3 407,49,0,86,2,14,-66,52,137, 3 544
2005,Other non-metallic mineral product manufacturing,4,1,12,0,0,1,3,3,3,2,6,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,2,1,1,0,1,0,4,0,19,38,4,36,43,1,1,0,6,1,4,1,1,0,0,1,0,0,2,2,1,2,2,0,1,1,250,155,169,624,2,2,0,1,1,1,7,13,0,1,0,0,0,0,1,0,0,0,1,0,4,1,11,3,3,1,4,3,1,1,2,0,2,1,0,1,1,1,3,67,0, 1 561,13,0,26,1,8,-8,337,378, 1 939
2101,Iron and steel manufacturing,9,1,7,1,0,1,4,88,52,27,117,4,103,4,0,3,2,0,2,2,2,3,1,1,1,0,0,1,0,0,0,2,18,2,5,4,40,14,0,10,1,15,1,2,0,18,33,15,590,22,84, 1 296,245,404,108,64,56,199,68,46,20,215,55,10,8,15,3,11,8,642,253,303, 2 374,28,17,3,9,8,40,1,4,4,11,0,2,0,2,89,0,3,1,10,5,15,21,175,32,23,5,25,14,7,19,30,4,18,11,3,3,3,9,65,6,1, 8 446,119,152,79,2,12,125, 1 577, 2 066, 10 512
2102,Basic non-ferrous metal manufacturing,20,2,13,2,0,0,7,46,40,21,122,5,83,5,0,11,1,1,2,2,6,3,1,1,2,0,0,2,0,0,1,4,18,3,18,6,24,15,0,9,2,34,2,3,1,17,3,2,151,395,15,61,0,223,23,50,5,15,26,59,15,33,33,213,8,15,2,12,12,62,61,85,97,154,33,7,17,10,9,3,6,13,37,1,1,1,8,119,0,13,1,12,11,10,29,179,33,35,15,45,18,8,15,23,3,33,30,1,8,9,5,10,9,1, 3 212,166,159, 1 468,13,48,- 1 049, 41 461, 42 267, 45 479
2201,Forged iron and steel product manufacturing,1,0,0,0,0,0,0,41,16,7,39,1,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,14,0,16,0,0,113,5,15,10,12,122,1,4,9,1,53,5,1,4,7,2,2,0,6,8,12,36,11,8,0,2,1,6,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,1,0,0,1,1,1,2,0,3,1,0,1,1,7,19,1,0,676,20,0,46,1,3,-13,82,139,815
2202,Structural metal product manufacturing,24,4,11,13,1,23,24,539,196,239,771,71,129,7,0,5,2,1,7,3,2,5,32,18,2,0,0,3,0,0,0,4,16,73,4,3,16,8,0,11,1,103,0,92,1,142,430,114,74,4,9,673,21,117,34,26,255,21,45,102,11,335,35,25,21,34,5,60,4, 3 870, 1 350, 1 023, 3 769,102,171,4,27,16,280,3,7,78,24,1,8,1,4,46,0,8,5,5,15,18,24,115,25,19,17,19,46,6,104,168,27,55,21,17,21,5,38,128,12,1, 16 766,207,0,749,20,75,-678,687, 1 060, 17 826
2203,Metal containers and other sheet metal product manufacturing,6,0,1,3,0,2,4,47,35,12,100,3,9,2,0,17,4,0,4,1,1,7,112,29,12,0,0,1,0,0,0,1,8,0,2,1,14,16,0,27,0,53,0,0,0,3,3,3,12,1,0,66,45,35,98,5,5,2,8,5,10,179,7,5,4,6,6,8,1,364,157,128,358,32,61,5,8,41,10,13,1,32,7,0,1,0,1,10,0,3,2,1,2,36,7,33,5,8,5,6,10,2,5,7,1,27,6,1,5,5,17,30,9,0, 2 516,86,0, 1 176,105,239,-51,222, 1 777, 4 293
2204,Other fabricated metal product manufacturing,22,3,13,7,1,13,12,157,89,24,143,7,22,6,1,6,3,1,4,4,4,7,15,5,3,0,0,5,0,0,1,9,101,7,8,6,6,17,0,54,3,82,1,3,7,8,21,14,64,14,5,473,253,320,104,72,26,44,50,47,16,142,67,13,17,28,4,112,18,577,161,242, 1 167,91,106,7,23,22,9,2,7,10,3,1,10,1,1,14,0,2,2,2,5,36,10,57,8,7,6,27,108,18,20,34,3,47,31,10,19,21,43,67,33,5, 5 885,753,0,270,15,58,-96, 1 106, 2 106, 7 991
2301,Motor vehicles and parts; other transport equipment manufacturing,16,2,11,2,1,2,7,20,13,10,37,2,9,6,1,6,5,1,4,5,4,9,3,1,2,0,0,2,0,1,1,2,5,1,3,4,7,4,0,4,1,4,0,4,0,3,2,1,5,1,1,11,2,6,109,7,4,6,12,8,2,23,3,1,4,5,1,3,5,55,50,66,177,99,89,7,65,132,12,3,12,14,20,2,3,2,4,31,0,4,8,17,29,5,22,97,26,44,15,15,464,8,22,34,7,51,22,4,11,7,746,28,9,1, 2 990, 7 831,11,- 1 836,121,329,169, 1 680, 8 304, 11 294
2302,Ships and boat manufacturing,1,0,0,35,0,96,12,8,4,6,27,1,31,2,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,6,3,0,1,0,2,0,1,0,3,0,0,2,0,0,5,1,1,1,23,2,7,1,6,0,9,0,0,1,1,0,1,3,10,17,53,44,103,84,2,50,11,5,374,6,8,127,1,2,2,2,47,0,1,6,11,34,0,35,191,46,28,16,15,523,6,8,9,5,12,7,2,7,3,2,2,2,0, 2 233,465,1,948,63, 1 365,-197,839, 3 484, 5 717
2303,Railway rolling stock manufacturing,2,0,2,0,0,0,1,232,11,105,29,1,19,2,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,2,8,4,0,2,0,3,0,1,0,2,0,0,1,5,0,6,1,5,2,2,872,4,6,1,0,3,0,0,1,2,0,0,4,16,13,113,47,118,110,4,75,18,943,11,7,11,39,1,2,2,3,60,0,1,9,20,49,6,34,88,29,41,19,19,3,7,11,12,7,16,10,3,8,4,2,2,4,1, 3 358,29,59, 1 080,7,38,255,59, 1 527, 4 885
2304,Aircraft manufacturing,8,1,4,0,0,0,2,7,5,3,21,1,18,2,0,2,1,0,1,1,1,2,1,0,1,0,0,0,0,0,0,1,2,1,2,2,7,4,0,3,0,3,0,1,0,2,0,0,1,0,0,6,1,2,3,2,1,33,3,2,0,5,1,0,1,2,0,1,4,18,14,20,51,96,89,3,64,14,6,19, 1 880,98,40,1,2,2,2,52,0,1,7,16,40,0,27,74,24,33,16,42,118,7,10,30,15,21,11,3,7,4,5,4,4,1, 3 172,136,55,637,2,820,-232,940, 2 358, 5 530
2401,"Professional, scientific, computer and electronic equipment manufacturing",30,5,62,5,1,4,15,30,20,17,71,4,35,4,0,5,3,1,3,3,4,6,4,1,2,0,0,2,0,0,1,1,5,2,6,11,6,15,0,7,1,11,1,3,1,7,3,0,5,2,0,22,4,15,15,7,26,8,31,52,2,27,4,3,9,17,2,6,5,60,48,40,121,80,30,4,17,35,6,31,61,7,11,3,5,2,101,57,0,9,7,29,9,5,22,209,55,62,16,32,34,10,14,19,2, 1 112,62,0,8,6,22,23,15,2, 3 186, 1 057,53, 1 501,156,625,40, 4 448, 7 881, 11 067
2403,Electrical equipment manufacturing,16,2,20,5,1,8,8,30,15,9,41,2,16,7,1,8,4,1,3,5,7,8,4,2,2,0,0,2,0,0,1,2,6,5,7,6,6,5,0,4,1,8,1,2,0,6,2,1,5,1,0,16,4,8,8,13,15,14,51,66,12,96,3,7,59,95,4,14,14,196,259,196,659,38,23,7,26,41,3,7,16,24,9,1,6,3,2,82,0,8,1,3,4,7,7,87,10,17,6,27,13,7,15,23,3,64,24,9,25,27,53,39,13,2, 2 888,339,17,702,34,97,58,865, 2 112, 5 000
2404,Domestic appliance manufacturing,3,0,2,0,0,0,1,3,1,1,4,0,1,1,0,2,1,0,1,1,1,2,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,2,0,1,2,2,1,1,2,1,60,37,1,0,1,1,0,1,1,119,18,6,115,4,8,1,6,4,1,0,1,1,0,0,0,0,0,2,0,1,1,1,1,0,0,3,1,1,1,1,2,1,2,3,0,10,3,0,1,1,7,44,1,0,524,363,0,241,18,39,10,123,794, 1 318
2405,Specialised and other machinery and equipment manufacturing,76,7,82,32,3,42,47,263,160,98,600,39,92,19,1,15,10,2,5,12,13,21,12,4,6,0,1,4,0,1,1,5,31,6,14,29,52,25,0,42,3,64,1,20,1,26,10,3,40,4,1,138,19,174,62,60,71,26,67,53,11,214,8,17,35,47,5,45,15,157,142,126,462,179,50,9,34,44,15,26,50,22,36,1,9,2,8,98,1,14,1,6,14,6,21,201,30,54,30,54,97,15,31,49,7,75,34,9,18,20,173,274,22,3, 5 836,798,56, 4 218,118,325,22, 2 324, 7 862, 13 698
2501,Furniture manufacturing,3,1,2,0,0,1,1,3,3,2,8,0,0,3,0,3,1,0,1,1,2,4,12,4,3,0,0,3,0,0,0,1,2,0,3,3,3,1,0,3,0,7,0,1,0,3,2,0,3,1,0,13,1,2,105,7,2,3,1,1,0,3,14,1,1,1,0,2,3,702,174,45,328,18,31,4,8,8,2,1,4,5,5,0,6,0,0,2,0,2,1,1,2,4,27,89,5,4,3,20,5,3,11,20,4,13,8,3,4,4,5,6,7,1, 1 851, 1 479,0,474,51,642,4,268, 2 917, 4 768
2502,Other manufactured products,9,1,6,1,0,2,2,9,5,3,13,1,1,2,0,1,1,0,1,1,1,2,2,0,1,0,0,1,0,1,0,1,6,0,3,3,1,2,0,3,0,2,0,0,0,2,2,1,2,3,0,7,1,4,9,15,12,3,5,4,3,8,5,22,2,4,0,8,15,76,33,30,131,21,46,30,20,8,5,1,2,7,3,0,6,3,0,2,0,2,1,2,4,14,8,34,1,25,13,9,15,7,23,30,8,52,53,6,41,15,57,23,34,4, 1 129,448,1,59,1,23,3,921, 1 455, 2 584
2601,Electricity generation,122,25,125,1,1,1,26,302,569,366,695,63,81,104,1,50,10,6,16,9,180,18,13,29,28,4,1,12,4,14,4,21,56,94,75,17,122,82,2,118,82,84,32,51,8,61,19,3,158,902,16,69,13,34,79,12,13,26,6,19,6,57,25,25,327,709,3,235,5,16,26,119,33,344,830,207,532,48,148,2,21,31,233,22,40,9,24,194,1,79,37,73,425,0,375,375,29,53,16, 1 496,16,52,196,72,32,246,73,11,29,32,29,18,34,12, 13 236, 6 946,0,336,124,139,14,196, 7 755, 20 991
2605,"Electricity transmission, distribution, on selling and electricity market operation",170,54,223,1,2,2,55,401,764,496,945,89,155,145,2,71,15,9,26,14,234,27,19,39,39,6,2,16,5,19,6,33,79,114,87,23,254,165,3,172,114,110,42,67,11,83,25,4,218, 1 223,21,90,19,44,105,17,18,36,8,25,8,75,34,34, 3 457, 20 356,4,445,9,40,63,247,97,500, 1 098,269,727,93,238,4,35,46,318,30,52,13,49,382,1,106,51,110,585,6,499,519,52,86,31, 1 891,22,71,267,104,44,332,100,16,43,44,39,25,47,16, 41 091, 8 080,1, 2 295,923,993,1,416, 12 709, 53 800
2701,Gas supply,5,0,0,2,0,0,0,16,159,50,14,6,0,18,0,20,7,14,13,11,10,23,6,7,10,0,0,1,0,1,0,2,15,24,27,6,69,0,0,484,0,41,4,55,9,11,27,7,38,198,3,15,8,10,5,1,2,2,2,1,1,3,1,1,529,0, 2 022,0,0,0,0,0,9,13,7,3,126,27,0,0,0,0,6,5,1,0,0,3,0,1,0,0,7,2,6,32,0,8,0,9,1,3,14,10,2,19,23,0,1,1,3,1,5,2, 4 371, 1 097,0,18,4,6,0,31, 1 157, 5 528
2801,"Water supply, sewerage and drainage services",475,146,566,1,0,3,19,49,4,21,85,6,13,56,0,30,12,2,21,4,24,39,24,30,4,0,1,6,0,1,0,1,18,54,52,11,101,107,0,40,7,52,1,9,1,45,9,1,62,3,2,19,2,10,88,8,7,0,8,5,2,44,3,2,57,67,2,655,143,744,73,100,708,86,49,67,345,90,5,6,6,3,51,17,8,5,5,190,1,63,65,63,220,0,737, 1 127,2,306,154,188,54,167,72,113,12,332,168,15,257,20,75,35,58,5, 10 207, 10 580,898,867,328,365,0,151, 13 189, 23 396
2901,"Waste collection, treatment and disposal services",208,64,92,0,1,14,18,41,148,27,64,3,6,33,1,25,20,6,27,19,51,19,33,10,28,0,1,6,0,1,3,4,20,10,3,15,26,19,0,39,4,57,6,57,4,42,9,5,53,28,7,129,15,35,17,7,48,43,17,23,7,54,13,15,94,198,6,39, 1 372,317,116,373, 1 104,630,171,35,195,278,13,49,27,21,310,1,12,1,3, 1 326,0,30,35,167,81,570,372, 1 058, 1 056,682,342,42,59,217,40,100,181, 1 191,242,130,29,13,25,19,54,5, 15 232,521,622,159,14,39,0,23, 1 379, 16 611
3001,Residential building construction,186,46,126,5,0,7,49,169,407,450,428,42,25,4,0,3,1,0,2,2,2,5,5,2,2,0,0,0,0,0,0,30,43,2,8,10,25,7,0,4,1,7,0,2,0,8,1,0,7,16,1,14,4,7,7,7,2,3,7,3,1,9,11,10,72,258,41,109,23, 3 311, 2 245, 1 625, 6 899,493,232,146,144,60,220,27,63,24,295,8,8,22,10,149,0,55,69,85,93, 2 207,599,513,216,123,56,759,826,56,48,62,13,124,63,11,24,19,19,58,49,3, 24 864,58,16, 69 134,278, 2 662,0,185, 72 333, 97 197
3002,Non-residential building construction,138,33,121,7,1,10,47,147,326,317,327,30,22,6,0,4,1,0,3,2,3,6,7,2,3,0,0,1,0,0,0,10,22,3,11,16,36,10,0,6,1,10,1,2,0,12,2,0,10,12,1,19,5,11,11,10,3,5,6,4,1,11,3,3,46,113,27,35,23, 1 128,554,644, 1 885,429,258,112,171,69,162,39,89,32,251,11,11,20,10,151,0,64,74,113,120, 1 545,560,675,249,157,72,594,592,63,54,63,17,150,75,15,35,27,25,82,63,4, 13 579,76,236, 36 065,929, 7 970,0,263, 45 540, 59 119
3101,Heavy and civil engineering construction,217,8,83,1,0,2,14,307,149,267, 1 145,95,7,3,0,2,1,0,1,1,1,2,2,1,1,0,0,0,0,0,0,4,7,1,3,4,22,3,0,2,0,3,0,1,0,4,1,0,3,2,0,7,2,3,3,3,1,2,2,1,0,4,2,1,22,89,7,19,20,323,260,182,833,152,71,5,37, 1 714,315,28,24,8,60,3,3,3,2,61,0,22,26,36,30,9,157,184,82,49,21,342,935,29,16,17,7,64,26,5,9,7,7,19,24,2, 8 772,34,1, 30 938, 11 438, 21 695,0,765, 64 872, 73 644
3201,Construction services,980,231,606,37,6,26,244,902, 1 940, 2 227, 2 666,227,230,35,4,43,25,9,26,28,27,47,33,6,18,1,2,15,0,3,4,269,366,19,59,64,142,62,1,43,9,91,4,14,7,119,24,4,28,81,3,96,23,53,82,49,14,30,99,30,7,109,116,103,441, 2 004,250,996,73, 27 863, 20 804, 12 996, 62 826, 2 376, 1 017,682,416,294, 1 022,132,254,136, 1 333,23,29,102,250,896,2,384,287,309,281, 10 329, 2 950, 3 219, 1 192,759,191, 3 499, 3 919,292,306,357,48,655,376,32,90,99,166,161,242,20, 180 252, 1 782,62, 50 523, 4 904, 12 968,0, 1 449, 71 689, 251 941
3301,Wholesale trade, 1 859,138,771,108,109,112,426, 1 117,506,569, 1 920,124,211,474,50,410,348,95,244,352,322,596,173,87,115,20,21,153,0,42,42,129,479,81,186,206,627,280,20,586,71,320,28,75,27,210,100,34,229,77,25,551,47,346,548,173,127,299,536,169,31,773,230,54,206,261,31,236,265, 2 875, 1 273, 1 140, 6 270, 3 720, 2 884,377, 2 209, 1 835,254,113,385,504,410,146,473,221,137, 1 226,6,582,685,724,486,163,416, 2 041, 1 062,792,496,815,593,524,894, 1 079,157, 3 144, 1 341,177,550,346, 1 330,975,574,81, 66 672, 39 735,543, 9 941,528, 2 061,274, 20 665, 73 748, 140 420
3901,Retail trade,330,39,233,42,24,41,112,366,201,158,658,44,67,130,13,110,93,27,77,129,95,176,61,20,25,6,11,63,0,87,42,40,112,25,71,70,115,95,5,127,35,95,8,37,11,64,36,11,68,31,8,276,44,123,165,61,40,79,226,57,15,213,85,53,64,93,10,99,207, 1 017,416,436, 2 685, 1 739, 2 178,153, 1 011, 1 492,93,60,113,248,155,28,88,36,137,309,2,279,138,183,197,85,181,706,319,341,205,225,256,200,273,357,57, 1 227,842,67,187,132,401,314,248,46, 26 314, 96 630, 2 862, 2 604,96,555,-10, 5 362, 108 099, 134 413
4401,Accommodation,25,1,17,1,0,1,2,226,81,65,59,16,31,5,0,2,1,1,5,4,9,7,40,20,12,0,0,1,0,0,0,1,4,2,15,10,114,17,0,22,2,13,0,3,1,11,2,0,6,1,1,27,4,8,15,5,3,3,7,2,1,9,1,1,9,16,1,10,21,29,6,42,805,302,257,6,126,65,13,4,27,33,71,7,11,13,8,111,0,57,40,59,87,0,55,374,75,166,34,96,13,35,46,68,16,22,42,13,25,21,7,5,25,3, 4 324, 6 593,11,5,0,1,0, 7 641, 14 251, 18 575
4501,Food and beverage services,95,8,98,10,2,12,12,193,118,45,245,14,63,11,1,4,4,4,40,33,51,49,333,166,102,0,1,6,0,0,0,12,17,8,66,52,151,105,1,109,13,56,1,13,7,76,16,3,32,4,1,155,24,42,92,25,27,2,51,10,3,45,11,9,54,88,3,46,62,78,28,89, 1 368,479,478,14,119,193,24,10,15,120,234,8,75,33,56,415,0,344,155,110,77,0,52, 2 120,169,994,93,457,69,187,178,290,47,140,73,60,122,117,41,33,87,17, 13 079, 56 302,2,38,1,9,0, 5 953, 62 305, 75 384
4601,Road transport,860,195,250,18,91,15,60,470,132,196,523,151,105,923,31,734,162,46,323,189,122,415,112,161,92,26,40,58,0,3,10,543,534,80,149,81,217,211,9,283,29,460,8,98,14,706,71,71,343,485,15,367,67,133,180,41,35,53,85,56,22,176,112,43,113,58,42,59,136, 1 571,798,637, 3 131, 2 973, 1 565,145,713, 2 558,407,490,550,800, 1 220,131,51,25,12,201,2,54,89,324,216,39,141,534,135,232,123,321,143,137,232,349,53,747,323,54,141,86,125,148,80,18, 35 524, 12 963, 1 591, 1 481,97,475,45, 9 178, 25 829, 61 353
4701,Rail transport,52,8,34,1,2,1,2,903,28,303,248,8,3,25,2,18,6,2,50,6,4,12,5,8,7,1,1,4,0,0,0,11,11,3,11,3,15,14,1,37,6,11,0,4,1,16,2,2,111,278,2,34,9,11,8,3,9,4,3,2,1,6,3,1,44,1,1,2,120,37,32,44,110,744,77,6,47,426,383,61,18,41,357,3,3,1,1,31,0,4,11,8,23,0,15,45,10,22,10,30,6,7,11,16,4,22,12,4,15,4,6,5,4,1, 5 265, 4 434,6,161,51,79,64, 5 654, 10 450, 15 715
4801,"Water, pipeline and other transport",41,3,12,8,1,17,4,54,157,58,39,7,46,23,1,24,8,11,18,12,14,29,19,13,14,0,0,3,0,1,0,6,18,25,57,12,98,39,2,451,7,64,3,43,7,25,21,6,40,171,3,69,26,21,18,4,3,2,4,2,1,7,3,1,381,5,28,2,7,63,62,83,140, 1 518,84,35,119,253,8, 1 385,90,31,242,7,2,1,2,46,0,17,49,4,21,1,43,170,4,151,16,111,104,27,51,72,7,57,46,8,15,10,22,17,14,8, 7 535, 2 884,224,275,112,120,3,923, 4 541, 12 076
4901,Air and space transport,40,3,29,1,0,2,11,130,75,59,163,17,29,3,6,4,10,3,22,7,14,19,8,3,6,0,0,2,0,1,1,1,9,2,29,14,24,14,0,33,5,54,1,2,1,24,1,2,15,1,0,49,6,15,24,10,1,2,20,12,3,50,6,2,34,58,3,46,22,138,43,48,106,727,315,112,109,196,24,27, 1 166,163, 1 265,13,24,37,19,84,1,83,83,197,28,0,57,991,518,432,69,424,137,91,211,295,47,106,60,63,138,98,18,39,83,5, 10 161, 14 047,49,99,3,20,7, 5 868, 20 094, 30 255
5101,Postal and courier pick-up and delivery service,57,10,38,1,2,2,9,83,87,25,150,10,15,19,3,22,6,2,14,9,8,15,11,5,4,1,1,3,0,2,1,11,13,4,13,16,9,12,0,21,2,43,0,3,1,33,7,3,16,12,1,22,5,12,9,7,4,2,11,12,2,26,7,4,22,36,5,29,96,240,113,109,295,593,543,44,21,637,14,18,85,782,568,43,28,16,5,135,1,159,896,932,110,1,92, 1 014,10,407,78,675,28,132,274,293,54,514,276,44,120,108,66,31,163,9, 11 926, 1 800,38,256,62,87,3, 1 815, 4 060, 15 986
5201,Transport support services and storage, 1 112,43,204,18,11,32,59, 1 143,438,208,724,83,28,171,6,147,39,18,223,74,87,170,219,132,110,4,6,12,0,2,6,71,82,41,466,99,278,587,26,163,99,260,4,29,9,270,24,13,145,117,16,829,295,198,240,55,18,18,31,26,5,74,36,14,41,45,6,31,102,564,654,913, 1 464, 6 769, 1 192,46,321, 1 583,769,466, 2 937,546, 7 060,32,27,10,11, 1 229,2,194,104,114,266,6,341, 1 805,101,847,209,634,301,216,280,437,183,340,174,40,132,93,207,84,138,8, 44 243, 3 782, 15 094, 1 099,233,682,-15, 3 660, 24 536, 68 779
5401,Publishing (except internet and music publishing),9,1,6,0,0,0,2,5,9,2,10,1,7,1,0,7,0,0,1,2,1,2,2,1,1,0,0,2,0,0,0,1,5,29,28,8,3,14,0,11,1,21,5,1,0,5,1,0,5,0,0,34,2,4,17,5,1,0,3,4,1,8,2,1,0,1,5,3,26,26,21,22,107,365,675,34,51,27,22,11,7,102,35,10,25,6,21,133,22,73,47,17,51,0,67,629,5,240,62,175,12,74,200,293,65,30,70,60,23,28,35,8,171,8, 4 491, 1 608,16,235,95,151,132, 1 872, 4 109, 8 600
5501,Motion picture and sound recording,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,16,6,16,1,0,17,4,0,1,0, 1 910, 1 721,0,292,6,6,7,1,56,0,39,392,3,257,2,15,6,51,37,46,3,5,9,145,1,34,2,0,12,2, 5 171, 1 255,299,957,4,472,-1,410, 3 395, 8 566
5601,Broadcasting (except internet),1,1,1,7,0,5,6,4,7,7,34,2,5,15,1,8,5,4,11,9,8,7,9,5,5,0,0,0,0,0,0,3,8,1,1,1,0,22,0,11,5,8,7,3,1,1,1,1,2,0,1,3,1,3,5,12,40,59,3,4,2,4,1,0,3,2,3,10,17,27,6,17,302,212,700,341,818,35,0,3,232,14,68,0,118,23,156,949,3,242,51,27,121,0,247,516,7,233,251,45,37,83,40,58,6,190,223,106,82,172,14,20,51,3, 7 260, 1 845,690,471,1,13,0,212, 3 232, 10 492
5701,"Internet service providers, internet publishing and broadcasting, websearch portals and data processing",11,1,9,0,0,1,2,68,61,7,47,2,7,18,0,28,3,0,3,3,4,9,27,2,11,0,0,8,0,0,0,2,27,104,107,32,32,48,0,46,2,92,2,6,1,32,4,1,140,1,4,45,3,20,266,9,11,0,17,12,4,50,3,1,65,117,5,18,71,217,80,89,229,752, 1 178,82,52,185,10,19,13,98,289,104,24,8,766,601,98,602,283,675,77,0,120,971,507,235,86,460,14,121,209,383,254,121,136,191,63,79,38,29,199,14, 12 498, 2 445,48,160,3,38,0,662, 3 355, 15 853
5801,Telecommunication services,41,7,58,3,0,5,20,96,107,11,92,4,40,37,0,140,6,0,13,8,10,16,50,6,21,0,0,13,0,0,0,6,79,6,62,80,187,81,0,99,7,171,3,14,4,112,22,7,216,1,6,197,14,66,429,49,35,0,55,44,12,185,24,13,134,245,26,102,130,699,412,384,900, 2 233, 2 786,142,214,427,38,37,81,216,798,180,40,184, 3 264, 9 909,4, 1 161,475, 1 198,313,0,406, 1 544,992,720,303, 1 340,73,279,702,746,224,773,366,159,177,222,258,187,631,36, 39 958, 15 925,151, 1 436,488,565,0, 1 822, 20 387, 60 345
6001,Library and other information services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,0,4,0,1,2,4,2,0,0,0,0,1,0,0,0,0,28,487, 1 291,3,0,1,0,162, 1 944, 1 972
6201,Finance, 1 683,132,785,28,1,48,151,906, 4 080, 1 487,532,182,429,155,2,46,21,2,72,39,33,68,66,337,218,0,1,17,1,8,1,7,38,12,20,34,12,74,0,124,13,48,1,40,7,37,5,6,82,108,0,73,8,32,52,12,58,37,25,33,3,67,17,15, 1 202, 1 472,173, 1 713,76, 1 081,728,528, 1 614, 1 785, 1 554,476,788,426,326,505,124,71, 2 714,60,49,127,109, 1 199,1, 9 174, 9 210, 1 696,752, 30 426, 5 793, 5 669,293,902,293, 2 066,195,249,812,362,176, 1 656,210,32,100,97,101,48,274,27, 102 142, 39 707,115, 1 536,15,374,0, 4 036, 45 784, 147 926
6301,Insurance and superannuation funds,92,8,44,5,1,7,16,49,117,46,57,21,21,5,1,3,3,3,8,5,9,14,4,3,4,1,1,3,1,1,1,4,10,3,3,7,10,5,1,7,3,8,2,3,1,7,2,1,11,2,2,20,4,7,6,3,6,8,6,5,3,13,3,4,6,17,1,12,16,92,73,66,385,241,242,21,140,125,13,9,10,25,48,6,9,4,9,68,1,968,289,130,115, 2 381,119,398,72,104,71,346,5,26,34,22,31,126,50,12,21,19,33,13,43,4, 7 801, 47 967,1,271,15,55,0,485, 48 795, 56 596
