601,Coal mining,25,3,10,1,0,1,3, 1 461,255,637, 1 079,166,19,7,0,2,3,2,11,1,7,4,4,2,2,2,0,1,0,0,0,1,2,13,8,2,14,10,0,22,2,4,0,1,0,25,1,1, 1 053,480,0,46,34,4,5,1,0,1,1,1,0,2,1,0, 2 140,7,4,2,3,46,9,44,52,107,30,7,10,19,11,3,3,4,29,1,2,1,5,14,0,8,9,26,7,89,27,166,37,81,4,38,35,4,10,12,2,17,8,1,3,3,6,8,6,0, 8 602,51,38,120,13,40,-759, 66 593, 66 096, 74 698
701,Oil and gas extraction,56,3,16,6,0,2,6,542,917,441,501,82,19,85,1,98,25,50,48,42,45,95,28,26,46,1,0,6,0,3,0,10,66,114,124,30,733,7,1, 2 102,9,203,17,205,37,46,99,29,144,640,11,66,34,40,23,6,9,9,10,5,4,16,5,4, 1 881,22,36,16,3,204,195,86,333,248,81,30,508,257,14,13,4,137,57,24,11,1,2,38,0,8,3,6,59,63,56,176,6,50,9,139,46,19,66,47,9,130,124,3,11,8,21,23,30,10, 13 371, 4 718,12, 1 934,192,666,-223, 57 718, 65 017, 78 388
801,Iron ore mining,37,4,20,2,0,3,8,263,86,94,139,8,4,5,0,4,1,1,13,2,4,4,6,3,3,0,0,1,0,0,0,1,3,3,11,3,20,13,1,14,4,7,1,2,0,8,1,0,937,85,1,25,7,6,9,3,1,3,1,1,0,3,1,1,20,17,10,5,33,65,15,96,178,381,103,6,35,121,79,19,7,16,117,2,7,2,13,35,0,16,13,78,35,1,45,455,98,230,23,43,5,12,23,25,6,35,16,5,10,9,10,35,19,1, 4 525,78,15,315,37,123, 1 948, 73 547, 76 063, 80 588
802,Non-ferrous metal ore mining,16,2,10,0,0,0,3,180,92,104,193,24,25,5,0,2,1,0,1,1,7,1,1,1,2,0,0,1,0,1,0,2,5,5,2,1,7,5,0,257,7,4,2,2,2,487,14,140,612, 28 484,1,4,1,2,4,1,1,2,1,1,0,3,2,2,9,19,2,16,1,180,137,95,421,61,41,11,25,6,7,1,2,2,20,1,2,1,3,14,0,8,8,13,18,32,30,91,20,33,3,83,13,3,7,7,2,20,6,1,2,2,3,3,4,1, 32 224,220,6,642,72,241,634, 16 029, 17 844, 50 068
901,Non-metallic mineral mining,13,2,7,0,0,0,2,57,28,31,86,10,15,3,0,2,1,0,1,1,1,62,1,0,1,0,0,0,0,0,0,2,2,0,1,1,4,1,0,33,0,2,0,242,106,669,54,212,118,4,31,6,2,13,2,1,1,1,1,2,0,4,1,46,4,6,2,15,14,161,147,192, 2 165,54,27,3,7,8,3,2,2,2,13,1,2,0,4,17,1,4,3,22,5,21,21,147,39,71,5,25,7,4,7,9,3,22,8,2,9,12,3,4,6,0, 5 200,64,5,71,3,18,152, 1 152, 1 466, 6 666
1001,Exploration and mining support services,35,5,14,1,1,1,3, 4 371,786, 1 984, 3 457,516,58,3,0,8,2,1,6,3,5,8,11,6,5,0,0,1,0,0,0,1,4,3,23,5,13,29,1,9,5,12,0,2,0,15,1,0,8,5,1,41,14,10,12,2,1,1,2,2,0,5,2,1,5,7,2,4,13,47,21,53,53,152,41,10,12,58,11,4,3,13,55,2,1,1,1,45,0,11,10,3,6,117,27,44,14,20,4,51,46,6,12,19,4,30,10,3,3,2,11,6,5,1, 12 600,115,169, 3 738,4,53,0,204, 4 283, 16 883
1101,Meat and meat product manufacturing,141,68,3,6,0,2,6,5,14,4,12,1,1,591,2,8,80,28,32,582,39,782,7,1,2,0,290,1,0,0,0,2,2,1,1,1,2,4,1,65,15,1,0,1,0,1,0,0,2,3,0,2,0,1,1,1,0,1,1,1,0,2,1,9,2,3,1,2,17,13,12,19,91,762,439,405, 6 168,4,3,1,3,4,10,0,1,0,0,4,0,1,1,1,8,2,5,74,2,22,13,10,7,29,30,44,3,263,266,3,38,11,23,7,14,20, 11 690, 9 378,0,130,2,33,-970, 12 683, 21 257, 32 947
1102,Processed seafood manufacturing,2,0,1,5,0,2,2,3,2,1,7,0,1,1,1,3,6,0,2,9,1,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,5,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,2,2,7,26,22,8,48,1,0,0,1,1,2,0,0,0,1,3,0,1,0,0,1,0,2,3,1,2,1,2,3,3,3,6,1,19,27,0,1,4,1,1,1,0,320,490,0,10,0,2,-7,399,895, 1 215
1103,Dairy product manufacturing,49,17,1,0,0,0,1,3,5,5,16,0,1,18,0, 1 761,14,88,15,151,109,340,8,0,8,0,0,0,0,0,0,1,1,0,0,0,1,26,0,3,21,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,2,2,1,0,1,0,2,1,1,0,5,31,14,9,11,33,52,205,84,444,3,2,0,1,9,3,0,1,0,3,4,0,2,2,2,3,8,9,65,8,33,14,5,9,42,45,69,9,356,429,3,2,18,12,5,20,29, 4 797, 6 147,0,50,1,12,138, 2 837, 9 185, 13 982
1104,Fruit and vegetable product manufacturing,2,1,1,2,0,2,4,2,8,2,3,0,4,48,0,21,41,1,19,96,6,155,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5,2,3,8,8,26,17,163,2,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,4,1,2,0,1,1,2,15,13,8,11,1,42,61,1,2,6,2,2,1,3,853, 2 245,0,37,2,10,44, 1 554, 3 891, 4 744
